月结日期,总收入(元),原生视频,格子广告,banner
2020-04-24, 0.51, 0.14, 0.00, 0.37
2020-04-23, 0.16, 0.16, 0.00, 0.00
2020-04-22, 0.18, 0.18, 0.00, 0.00
2020-04-21, 0.12, 0.12, 0.00, 0.00
2020-04-20, 0.15, 0.07, 0.00, 0.08
2020-04-19, 0.14, 0.09, 0.00, 0.05
2020-04-18, 0.23, 0.20, 0.00, 0.03
2020-04-17, 0.20, 0.08, 0.00, 0.12
2020-04-16, 0.21, 0.20, 0.00, 0.01
2020-04-15, 0.60, 0.11, 0.00, 0.48
2020-04-14, 0.17, 0.09, 0.00, 0.08
2020-04-13, 0.05, 0.05, 0.00, 0.00
2020-04-12, 0.11, 0.08, 0.00, 0.04
2020-04-11, 0.17, 0.14, 0.00, 0.02
2020-04-10, 0.19, 0.18, 0.00, 0.01
2020-04-09, 0.11, 0.07, 0.00, 0.04
2020-04-08, 0.05, 0.02, 0.00, 0.03
2020-04-07, 0.32, 0.32, 0.00, 0.00
2020-04-06, 0.06, 0.06, 0.00, 0.00
2020-04-05, 0.12, 0.12, 0.00, 0.00
2020-04-04, 0.08, 0.08, 0.00, 0.00
2020-04-03, 0.09, 0.09, 0.00, 0.00
2020-04-02, 0.22, 0.22, 0.00, 0.00
2020-04-01, 0.19, 0.19, 0.00, 0.00
2020-03-31, 0.14, 0.13, 0.00, 0.01
2020-03-30, 0.51, 0.08, 0.00, 0.43
2020-03-29, 0.70, 0.13, 0.00, 0.57
2020-03-28, 0.66, 0.07, 0.00, 0.58
2020-03-27, 0.13, 0.11, 0.00, 0.01
2020-03-26, 0.22, 0.22, 0.00, 0.00
2020-03-25, 0.59, 0.15, 0.00, 0.44